Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-09-01,4.52523,4.52523,4.4625,4.4625,318.05042017954
2023-09-04,4.48042,4.48042,4.48042,4.48042,11.159663865949
2023-09-05,4.52523,4.52523,4.52523,4.52523,2.2319327731897
2023-09-06,4.52523,4.52523,4.28329,4.3012,470.93781514304
2023-09-07,4.52523,4.52523,4.28329,4.28329,107.13277311311
2023-09-08,4.52523,4.52523,4.4625,4.4625,253.32436975704
2023-09-11,4.4625,4.4625,4.4625,4.4625,178.55462185518
2023-09-12,4.52523,4.52523,4.24744,4.24744,2180.5983194064
2023-09-13,4.48042,4.48042,4.37289,4.37289,325.8621848857
2023-09-14,4.24744,4.37289,4.24744,4.24744,316.93445379294
2023-09-15,4.48042,4.48042,4.24744,4.26536,581.41848741593
2023-09-18,4.4625,4.4625,4.26536,4.26536,1152.7932773525
2023-09-19,4.37289,4.37289,4.26536,4.26536,1999.811764778
2023-09-20,4.4625,4.4625,4.33704,4.33704,350.41344539079
2023-09-21,4.4625,4.4625,4.33704,4.33704,385.00840337523
2023-09-22,4.37289,4.42666,4.37289,4.42666,1322.4201681149
2023-09-25,4.42666,4.44457,4.39081,4.44457,12576.941176924
2023-09-26,4.4625,4.4625,4.40873,4.4625,1670.6016807325
2023-09-27,4.6125,4.6125,4.4625,4.6125,397.8666666791
2023-09-28,4.63125,4.63125,4.4625,4.4625,2139.7333334002
2023-09-29,4.63125,4.63125,4.5,4.5,189.8666666726
2023-10-02,4.5375,4.5375,4.44375,4.44375,1060.2666666998
2023-10-03,4.5375,4.5375,4.44375,4.44375,3543.4666667774
2023-10-04,4.5375,4.5375,4.3125,4.5,4193.0666667977
2023-10-05,4.5375,4.5375,4.5375,4.5375,2.1333333334
2023-10-06,4.5375,4.5375,4.33125,4.33125,2349.8666667401
2023-10-09,4.5,4.5,4.5,4.5,97.0666666697
2023-10-10,4.51875,4.5375,4.51875,4.51875,282.6666666755
2023-10-11,4.5,4.5,4.4625,4.4625,251.7333333412
2023-10-12,4.4625,4.5,4.4625,4.5,1410.1333333774
2023-10-13,4.5375,4.5375,4.5,4.5375,379.7333333452
2023-10-16,4.5375,4.63125,4.5375,4.63125,1345.0666667087
2023-10-17,4.63125,4.66875,4.55625,4.66875,873.6000000273
2023-10-18,4.66875,4.66875,4.66875,4.66875,16.0000000005
2023-10-19,4.66875,4.66875,4.40625,4.66875,352.000000011
2023-10-20,4.59375,4.59375,4.51875,4.5375,762.6666666905
2023-10-23,4.575,4.575,4.4625,4.5375,850.1333333599
2023-10-24,4.40625,4.51875,4.40625,4.48125,3371.7333334387
2023-10-25,4.51875,4.51875,4.40625,4.40625,11.7333333337
2023-10-26,4.51875,4.51875,4.33125,4.48125,530.1333333499
2023-10-27,4.48125,4.5,4.48125,4.5,678.4000000212
2023-10-30,4.51875,4.51875,4.3125,4.48125,1480.5333333796
2023-10-31,4.48125,4.48125,4.48125,4.48125,10.666666667
2023-11-02,4.48125,4.48125,4.48125,4.48125,2.1333333334
2023-11-03,4.48125,4.5,4.33125,4.5,1525.333333381
